hypothesis	split_strategy	contrast_name	model_name	baseline_model	metric	model_value	baseline_value	delta	interpretation
H1_spot_interaction_receptor_layer	cold_phage_cluster	phold_increment_over_rbpbase	phold_plus_host_KO_rate	rbpbase_plus_host_KO_rate	pooled_average_precision	0.116218	0.064114	0.052104	Model has higher pooled AP than baseline in this exploratory split.
H1_spot_interaction_receptor_layer	cold_phage_cluster	phold_new_increment_over_rbpbase	phold_new_plus_host_KO_rate	rbpbase_plus_host_KO_rate	pooled_average_precision	0.051690	0.064114	-0.012424	Model has lower pooled AP than baseline in this exploratory split.
H1_spot_interaction_receptor_layer	cold_phage_cluster	pharokka_phold_increment_over_rbpbase	pharokka_phold_plus_host_KO_rate	rbpbase_plus_host_KO_rate	pooled_average_precision	0.116218	0.064114	0.052104	Model has higher pooled AP than baseline in this exploratory split.
H1_spot_interaction_receptor_layer	cold_phage_cluster	domain_module_increment_over_rbpbase	domain_module_plus_host_KO_rate	rbpbase_plus_host_KO_rate	pooled_average_precision	0.190708	0.064114	0.126594	Model has higher pooled AP than baseline in this exploratory split.
H1_spot_interaction_receptor_layer	cold_phage_cluster	structural_module_increment_over_rbpbase	structural_module_plus_host_KO_rate	rbpbase_plus_host_KO_rate	pooled_average_precision	0.051865	0.064114	-0.012249	Model has lower pooled AP than baseline in this exploratory split.
H1_spot_interaction_receptor_layer	cold_phage_cluster	domain_structural_module_increment_over_rbpbase	domain_structural_module_plus_host_KO_rate	rbpbase_plus_host_KO_rate	pooled_average_precision	0.190417	0.064114	0.126303	Model has higher pooled AP than baseline in this exploratory split.
H1_spot_interaction_receptor_layer	cold_phage_cluster	domain_structural_module_vs_genome_similarity	domain_structural_module_plus_host_KO_rate	genome_similarity_nearest_phage_host_KO_rate	pooled_average_precision	0.190417	0.195850	-0.005433	Model has lower pooled AP than baseline in this exploratory split.
H1_spot_interaction_receptor_layer	cold_phage_cluster	ordered_domain_architecture_increment_over_unordered_domain_module	ordered_domain_architecture_plus_host_KO_rate	domain_module_plus_host_KO_rate	pooled_average_precision	0.060394	0.190708	-0.130314	Model has lower pooled AP than baseline in this exploratory split.
H1_spot_interaction_receptor_layer	cold_phage_cluster	ordered_domain_structural_architecture_increment_over_unordered_module_identity	ordered_domain_structural_architecture_plus_host_KO_rate	domain_structural_module_plus_host_KO_rate	pooled_average_precision	0.060394	0.190417	-0.130023	Model has lower pooled AP than baseline in this exploratory split.
H1_spot_interaction_receptor_layer	cold_phage_cluster	ordered_domain_structural_architecture_increment_over_rbpbase	ordered_domain_structural_architecture_plus_host_KO_rate	rbpbase_plus_host_KO_rate	pooled_average_precision	0.060394	0.064114	-0.003720	Model has lower pooled AP than baseline in this exploratory split.
H1_spot_interaction_receptor_layer	cold_phage_cluster	ordered_domain_structural_architecture_vs_genome_similarity	ordered_domain_structural_architecture_plus_host_KO_rate	genome_similarity_nearest_phage_host_KO_rate	pooled_average_precision	0.060394	0.195850	-0.135456	Model has lower pooled AP than baseline in this exploratory split.
H1_spot_interaction_receptor_layer	cold_phage_cluster	union_increment_over_rbpbase	receptor_plus_host_KO_rate	rbpbase_plus_host_KO_rate	pooled_average_precision	0.118254	0.064114	0.054140	Model has higher pooled AP than baseline in this exploratory split.
H1_spot_interaction_receptor_layer	cold_phage_cluster	boundary_reviewed_union_increment_over_exact_union	receptor_boundary_reviewed_plus_host_KO_rate	receptor_plus_host_KO_rate	pooled_average_precision	0.118157	0.118254	-0.000097	Model has lower pooled AP than baseline in this exploratory split.
H1_spot_interaction_receptor_layer	cold_phage_cluster	boundary_reviewed_union_vs_genome_similarity	receptor_boundary_reviewed_plus_host_KO_rate	genome_similarity_nearest_phage_host_KO_rate	pooled_average_precision	0.118157	0.195850	-0.077693	Model has lower pooled AP than baseline in this exploratory split.
H1_spot_interaction_receptor_layer	cold_phage_cluster	primary_receptor_union_vs_genome_similarity	receptor_plus_host_KO_rate	genome_similarity_nearest_phage_host_KO_rate	pooled_average_precision	0.118254	0.195850	-0.077596	Model has lower pooled AP than baseline in this exploratory split.
